,date,lat_bin,lon_bin,Element,Element_value,Element_dis
137558,2015-02-16,5746,752,zinc,62333.333333333336,74.65996575878818
137559,2015-02-16,5746,745,zinc,62333.333333333336,75.13835091712183
137560,2015-02-16,5746,731,zinc,62333.333333333336,76.29400685927827
137561,2015-02-16,5746,751,zinc,62333.333333333336,74.72416781898772
137562,2015-02-16,5746,736,zinc,62333.333333333336,75.85133511627683
137563,2015-02-16,5746,740,zinc,62333.333333333336,75.52101676089343
137564,2015-02-16,5747,717,zinc,62333.333333333336,78.26976520955664
137565,2015-02-16,5747,743,,,
137566,2015-02-16,5747,719,zinc,62333.333333333336,78.05475142447517
137567,2015-02-16,5747,738,zinc,62333.333333333336,76.26410682654601
137568,2015-02-16,5747,721,zinc,62333.333333333336,77.84467934460227
137569,2015-02-16,5747,757,zinc,62333.333333333336,74.9510776768472
137570,2015-02-16,5747,741,zinc,62333.333333333336,76.02429193281266
137571,2015-02-16,5748,709,zinc,62333.333333333336,79.73731845770237
137572,2015-02-16,5748,704,zinc,62333.333333333336,80.33947879361422
137573,2015-02-16,5748,714,zinc,62333.333333333336,79.16459307781003
137574,2015-02-16,5748,707,zinc,62333.333333333336,79.97468692031566
137575,2015-02-16,5748,712,zinc,62333.333333333336,79.39010951130992
137576,2015-02-16,5749,701,zinc,62333.333333333336,81.26713942095473
137577,2015-02-16,5239,368,,,
137578,2015-02-16,5240,366,lead,1210.0,94.1857837545157
137579,2015-02-16,5241,363,lead,1210.0,94.14020806795502
137580,2015-02-16,5241,364,lead,1210.0,94.32578921260885
137581,2015-02-16,5242,362,lead,1210.0,94.47542313843674
137582,2015-02-16,5254,393,lead,1210.0,106.57227407586801
137583,2015-02-16,5511,791,zinc,43500.0,41.44056180252587
137584,2015-02-16,5512,790,zinc,43500.0,40.850267462140614
137585,2015-02-16,5513,790,zinc,43500.0,40.25019485742846
137586,2015-02-16,5514,788,zinc,43500.0,39.67933125099872
137587,2015-02-16,5515,787,zinc,43500.0,39.09897398636849
137588,2015-02-16,5515,597,zinc,43500.0,77.56519029900836
137589,2015-02-16,5516,596,zinc,43500.0,77.55285385916187
137590,2015-02-16,5516,784,zinc,43500.0,38.57627827384827
137591,2015-02-16,5516,785,zinc,43500.0,38.547760422852114
137592,2015-02-16,5517,595,zinc,43500.0,77.54650731440196
137593,2015-02-16,5517,783,zinc,43500.0,38.01019397411415
137594,2015-02-16,5517,594,zinc,43500.0,77.84362859425136
137595,2015-02-16,5518,782,zinc,43500.0,37.448252262943576
137596,2015-02-16,5518,593,zinc,43500.0,77.84468473699408
137597,2015-02-16,5519,591,zinc,43500.0,78.15195700706018
137598,2015-02-16,5519,781,zinc,43500.0,36.89064007870233
137599,2015-02-16,5519,779,zinc,43500.0,36.97833028219258
137600,2015-02-16,5520,777,zinc,43500.0,36.48523761520399
137601,2015-02-16,5521,776,zinc,43500.0,35.94875086106043
137602,2015-02-16,5521,775,zinc,43500.0,36.00819858202152
137603,2015-02-16,5354,590,,,
137604,2015-02-16,5354,589,,,
137605,2015-02-16,5354,587,,,
